rank,feature,corr_filter_raw,corr_filter_norm,anova_f_raw,anova_f_norm,mutual_info_raw,mutual_info_norm,xgb_gain_raw,xgb_gain_norm,rfe_rank_raw,rfe_rank_norm,consensus_score
1,ch4_MFL,1.000000,1.000000,518541.838542,1.000000,0.478997,1.000000,0.108807,1.000000,68.800000,0.842857,0.968571
2,ch5_MFL,1.000000,1.000000,313926.734253,0.605400,0.416128,0.868731,0.037565,0.341137,63.000000,0.428571,0.648768
3,ch3_MFL,1.000000,1.000000,392750.077528,0.757410,0.414881,0.866128,0.011742,0.102329,60.200000,0.228571,0.590888
4,ch4_MSR,0.200000,0.200000,244909.653242,0.472300,0.468076,0.977198,0.020366,0.182082,71.000000,1.000000,0.566316
5,ch6_MFL,0.840000,0.840000,241262.254203,0.465266,0.369775,0.771947,0.026195,0.235986,63.200000,0.442857,0.551211
6,ch7_MFL,1.000000,1.000000,223439.235704,0.430894,0.362836,0.757459,0.012398,0.108391,62.400000,0.385714,0.536492
7,ch8_MFL,1.000000,1.000000,200335.265193,0.386338,0.346108,0.722533,0.011825,0.103090,61.400000,0.314286,0.505249
8,ch2_MFL,1.000000,1.000000,225698.771820,0.435252,0.346553,0.723462,0.008418,0.071587,60.200000,0.228571,0.491774
9,ch4_RMS,0.200000,0.200000,163863.524453,0.316003,0.423487,0.884097,0.025206,0.226840,68.400000,0.814286,0.488245
10,ch4_LS,0.000000,0.000000,158566.000098,0.305786,0.421002,0.878909,0.048542,0.442663,68.200000,0.800000,0.485472
11,ch4_IAV,0.000000,0.000000,152447.051633,0.293986,0.417793,0.872208,0.030350,0.274416,70.800000,0.985714,0.485265
12,ch4_DASDV,0.200000,0.200000,157844.291289,0.304394,0.415750,0.867941,0.015772,0.139591,69.800000,0.914286,0.485243
13,ch3_RMS,0.200000,0.200000,141188.488428,0.272274,0.375903,0.784744,0.024540,0.220679,69.400000,0.885714,0.472682
14,ch1_MFL,1.000000,1.000000,194501.672246,0.375088,0.340214,0.710226,0.014562,0.128407,59.000000,0.142857,0.471316
15,ch3_MSR,0.200000,0.200000,204020.393984,0.393445,0.410294,0.856551,0.006364,0.052591,67.600000,0.757143,0.451946
16,ch4_VAR,0.600000,0.600000,90391.479746,0.174312,0.331607,0.692255,0.025815,0.232476,63.600000,0.471429,0.434094
17,ch8_RMS,0.200000,0.200000,84307.468244,0.162579,0.275503,0.575111,0.040625,0.369445,68.200000,0.800000,0.421427
18,ch3_LS,0.000000,0.000000,136974.761125,0.264148,0.374922,0.782696,0.027184,0.245138,67.600000,0.757143,0.409825
19,ch3_IAV,0.000000,0.000000,132198.918392,0.254937,0.374173,0.781130,0.015989,0.141599,69.200000,0.871429,0.409819
20,ch2_RMS,0.200000,0.200000,96058.080789,0.185240,0.294133,0.614011,0.037621,0.341663,66.800000,0.700000,0.408183
21,ch7_VAR,1.000000,1.000000,47305.029379,0.091219,0.214106,0.446915,0.004924,0.039271,63.400000,0.457143,0.406910
22,ch1_RMS,0.200000,0.200000,97582.422336,0.188179,0.282164,0.589018,0.025664,0.231074,68.400000,0.814286,0.404512
23,ch5_VAR,1.000000,1.000000,42838.245657,0.082605,0.231257,0.482726,0.009114,0.078019,62.000000,0.357143,0.400099
24,ch1_VAR,0.800000,0.800000,64074.144953,0.123559,0.226050,0.471855,0.008419,0.071593,64.400000,0.528571,0.399115
25,ch2_LS,0.200000,0.200000,94107.215035,0.181477,0.292167,0.609906,0.025689,0.231306,67.400000,0.742857,0.393109
26,ch5_MSR,0.200000,0.200000,155266.662396,0.299423,0.392888,0.820208,0.006586,0.054642,64.800000,0.557143,0.386283
27,ch5_DASDV,0.200000,0.200000,90961.957092,0.175412,0.343310,0.716690,0.016484,0.146178,66.400000,0.671429,0.381942
28,ch5_RMS,0.200000,0.200000,93664.413174,0.180623,0.347205,0.724823,0.014261,0.125621,66.200000,0.657143,0.377642
29,ch6_MSR,0.040000,0.040000,120682.634644,0.232728,0.345103,0.720433,0.006436,0.053251,68.400000,0.814286,0.372140
30,ch6_IAV,0.200000,0.200000,66480.540324,0.128199,0.292894,0.611424,0.005304,0.042782,69.200000,0.871429,0.370767
31,ch7_LS,0.200000,0.200000,83126.762976,0.160302,0.278856,0.582112,0.053520,0.488698,62.800000,0.414286,0.369080
32,ch1_LS,0.200000,0.200000,95130.504893,0.183451,0.281581,0.587802,0.015526,0.137320,67.200000,0.728571,0.367429
33,ch2_VAR,1.000000,1.000000,59302.196294,0.114356,0.211646,0.441779,0.007610,0.064106,59.800000,0.200000,0.364048
34,ch7_MSR,0.200000,0.200000,121871.432122,0.235021,0.330897,0.690773,0.017045,0.151364,64.600000,0.542857,0.364003
35,ch7_RMS,0.200000,0.200000,85447.085609,0.164776,0.282006,0.588690,0.021282,0.190550,66.400000,0.671429,0.363089
36,ch6_LS,0.200000,0.200000,67292.077466,0.129764,0.294790,0.615383,0.006476,0.053619,68.400000,0.814286,0.362610
37,ch8_MSR,0.200000,0.200000,113174.059353,0.218248,0.314818,0.657200,0.004981,0.039799,66.400000,0.671429,0.357335
38,ch5_IAV,0.200000,0.200000,90170.576258,0.173886,0.343693,0.717489,0.004941,0.039430,66.000000,0.642857,0.354732
39,ch1_MSR,0.200000,0.200000,122860.709042,0.236929,0.319010,0.665952,0.011965,0.104391,64.600000,0.542857,0.350026
40,ch5_LS,0.200000,0.200000,91971.429024,0.177359,0.346101,0.722518,0.004401,0.034429,65.600000,0.614286,0.349718
41,ch3_VAR,0.600000,0.600000,82319.366856,0.158745,0.284200,0.593271,0.011647,0.101442,60.600000,0.257143,0.342120
42,ch8_LS,0.040000,0.040000,81205.033615,0.156596,0.271681,0.567130,0.017688,0.157316,68.000000,0.785714,0.341351
43,ch8_DASDV,0.200000,0.200000,81890.688974,0.157918,0.270572,0.564815,0.012696,0.111150,66.200000,0.657143,0.338205
44,ch3_WAMP,1.000000,1.000000,25.722446,0.000041,0.000560,0.001040,0.001084,0.003756,66.600000,0.685714,0.338110
45,ch2_MSR,0.200000,0.200000,133421.105635,0.257294,0.333586,0.696386,0.019188,0.171187,61.400000,0.314286,0.327831
46,ch7_IAV,0.200000,0.200000,80826.368916,0.155865,0.275443,0.574987,0.010885,0.094403,65.400000,0.600000,0.325051
47,ch3_DASDV,0.200000,0.200000,135474.541729,0.261254,0.367508,0.767215,0.005205,0.041873,61.800000,0.342857,0.322640
48,ch6_VAR,1.000000,1.000000,27131.106523,0.052314,0.181823,0.379510,0.002798,0.019604,59.000000,0.142857,0.318857
49,ch8_VAR,0.640000,0.640000,47371.491247,0.091348,0.225155,0.469986,0.005859,0.047912,61.600000,0.328571,0.315563
50,ch6_WAMP,1.000000,1.000000,12.750622,0.000016,0.000062,0.000000,0.001548,0.008044,64.200000,0.514286,0.304469
51,ch1_IAV,0.000000,0.000000,92454.014527,0.178289,0.277838,0.579988,0.015096,0.133345,65.600000,0.614286,0.301181
52,ch2_IAV,0.200000,0.200000,91627.129769,0.176695,0.290565,0.606560,0.011120,0.096572,62.600000,0.400000,0.295965
53,ch6_DASDV,0.200000,0.200000,64916.115358,0.125182,0.290842,0.607138,0.002723,0.018913,64.200000,0.514286,0.293104
54,ch7_DASDV,0.200000,0.200000,82569.044502,0.159226,0.276630,0.577465,0.001992,0.012152,64.200000,0.514286,0.292626
55,ch8_IAV,0.000000,0.000000,78337.576494,0.151066,0.267951,0.559342,0.003055,0.021983,67.000000,0.714286,0.289335
56,ch1_DASDV,0.200000,0.200000,95254.590463,0.183690,0.277659,0.579613,0.010285,0.088849,61.600000,0.328571,0.276145
57,ch5_WAMP,1.000000,1.000000,15.835251,0.000022,0.000885,0.001718,0.001956,0.011817,61.600000,0.328571,0.268426
58,ch6_RMS,0.200000,0.200000,67894.864591,0.130927,0.295178,0.616191,0.012363,0.108064,60.400000,0.242857,0.259608
59,ch2_DASDV,0.200000,0.200000,93304.347686,0.179929,0.288870,0.603021,0.008766,0.074805,60.000000,0.214286,0.254408
60,ch6_ZC,1.000000,1.000000,7318.423756,0.014105,0.044160,0.092076,0.003210,0.023416,58.800000,0.128571,0.251634
61,ch8_WAMP,1.000000,1.000000,13.537608,0.000018,0.001377,0.002746,0.001239,0.005194,60.200000,0.228571,0.247306
62,ch5_ZC,1.000000,1.000000,9702.762696,0.018703,0.051666,0.107748,0.004500,0.035349,58.000000,0.071429,0.246646
63,ch4_ZC,1.000000,1.000000,13938.148680,0.026871,0.056051,0.116903,0.001899,0.011298,57.800000,0.057143,0.242443
64,ch8_ZC,1.000000,1.000000,11071.487790,0.021343,0.051971,0.108385,0.001275,0.005522,58.000000,0.071429,0.241336
65,ch3_ZC,1.000000,1.000000,10022.116905,0.019319,0.051138,0.106645,0.002302,0.015017,57.600000,0.042857,0.236768
66,ch2_WAMP,1.000000,1.000000,4.360999,0.000000,0.000723,0.001380,0.001233,0.005138,59.200000,0.157143,0.232732
67,ch7_ZC,1.000000,1.000000,10178.734157,0.019621,0.050360,0.105021,0.001060,0.003539,57.400000,0.028571,0.231350
68,ch1_ZC,1.000000,1.000000,9235.676572,0.017803,0.046614,0.097198,0.000678,0.000000,57.200000,0.014286,0.225857
69,ch2_ZC,1.000000,1.000000,7675.630073,0.014794,0.042633,0.088886,0.001194,0.004778,57.000000,0.000000,0.221692
70,ch1_WAMP,1.000000,1.000000,9.122361,0.000009,0.001141,0.002253,0.001863,0.010959,58.200000,0.085714,0.219787
71,ch4_WAMP,1.000000,1.000000,9.091759,0.000009,0.000546,0.001011,0.001472,0.007345,58.000000,0.071429,0.215959
72,ch7_WAMP,1.000000,1.000000,13.969396,0.000019,0.001862,0.003759,0.001608,0.008600,57.400000,0.028571,0.208190
