user_id,TDCNN,XGBoost,KNN,SVM
544,0.8634390651085142,0.8277128547579299,0.6253756260434057,0.0
546,0.7724580454096742,0.8114511352418559,0.5863770977295163,0.6535044422507403
557,0.9563318777292577,0.9495390587093644,0.7996118389131489,0.8884036875303251
575,0.9387417218543046,0.9012141280353201,0.8162251655629139,0.8614790286975718
489,0.9582089552238806,0.9356076759061833,0.8170575692963753,0.9049040511727079
574,0.9014363546310055,0.8603268945022289,0.7622585438335809,0.8454680534918276
538,0.9187890437289764,0.8553580009610764,0.73954829408938,0.8274867851994233
541,0.8438751000800641,0.8194555644515612,0.6741393114491593,0.7638110488390712
478,0.9124214933705513,0.8789253314724355,0.6953942777390091,0.7847173761339846
475,0.9436997319034852,0.9142091152815014,0.7903485254691689,0.8750670241286863
479,0.9099236641221374,0.8702290076335878,0.6956743002544529,0.7567430025445293
472,0.8279883381924198,0.8236151603498543,0.6461370262390671,0.7489067055393586
469,0.7819448165014733,0.7171175997856951,0.641307259576748,0.6911331368872221
502,0.8675271739130435,0.8406929347826086,0.7391304347826086,0.7907608695652174
511,0.9045031055900621,0.875388198757764,0.7472826086956522,0.8031832298136646
529,0.8798076923076923,0.7670454545454546,0.6520979020979021,0.7124125874125874
569,0.7686987704918032,0.7348872950819673,0.6308913934426229,0.6662397540983607
596,0.8535114174924602,0.7970702283498492,0.6876346402412753,0.7100387763894873
525,0.9182670835194283,0.8838767306833408,0.7780259044216168,0.8584189370254578
556,0.8802710843373494,0.8945783132530121,0.5978915662650602,0.7153614457831325
535,0.851119039896205,0.7836522867337009,0.6295815763866364,0.7204022056438534
583,0.8528756130182791,0.8466339723584485,0.6469014712438698,0.7057512260365582
491,0.9286545172547499,0.9018999612252812,0.7584335013571152,0.8576967816983326
526,0.8295951859956237,0.7778993435448578,0.6077680525164114,0.6769693654266958
515,0.7622222222222222,0.7535802469135803,0.557037037037037,0.6185185185185185
490,0.9166289080199366,0.8717716357045764,0.6542818305391934,0.7317625736293611
486,0.8687765341566963,0.8201466615206484,0.7491316094172135,0.8143573909687379
591,0.9355013550135501,0.9333333333333333,0.7734417344173442,0.8520325203252033
595,0.8360166964818128,0.8616577221228384,0.7429934406678592,0.7948717948717948
496,0.652157598499062,0.6671669793621013,0.4851782363977486,0.4960600375234522
